43.892487 10.398011 -84.496689 0.000000 0.000000  1
43.856609 10.397766 -84.495567 0.000000 0.000000  1
43.820732 10.397512 -84.494408 0.000000 0.000000  1
43.784855 10.397253 -84.493217 0.000000 0.000000  1
43.748985 10.396985 -84.491989 0.000000 0.000000  1
43.713108 10.396712 -84.490730 0.000000 0.000000  1
43.677235 10.396430 -84.489433 0.000000 0.000000  1
43.641361 10.396138 -84.488098 0.000000 0.000000  1
43.605492 10.395839 -84.486725 0.000000 0.000000  1
43.569618 10.395533 -84.485321 0.000000 0.000000  1
43.533756 10.395218 -84.483879 0.000000 0.000000  1
43.497887 10.394898 -84.482407 0.000000 0.000000  1
43.462021 10.394567 -84.480888 0.000000 0.000000  1
43.426155 10.394228 -84.479340 0.000000 0.000000  1
43.390289 10.393886 -84.477760 0.000000 0.000000  1
43.354427 10.393534 -84.476143 0.000000 0.000000  1
43.318569 10.393172 -84.474487 0.000000 0.000000  1
43.282711 10.392802 -84.472794 0.000000 0.000000  1
43.246849 10.392427 -84.471069 0.000000 0.000000  1
43.210991 10.392039 -84.469299 0.000000 0.000000  1
43.175137 10.391649 -84.467506 0.000000 0.000000  1
43.139278 10.391248 -84.465668 0.000000 0.000000  1
43.103424 10.390840 -84.463799 0.000000 0.000000  1
43.067581 10.390427 -84.461899 0.000000 0.000000  1
43.031731 10.390001 -84.459953 0.000000 0.000000  1
42.995880 10.389570 -84.457977 0.000000 0.000000  1
42.960033 10.389131 -84.455963 0.000000 0.000000  1
42.924187 10.388685 -84.453918 0.000000 0.000000  1
42.888340 10.388227 -84.451828 0.000000 0.000000  1
42.852505 10.387768 -84.449715 0.000000 0.000000  1
42.816662 10.387296 -84.447556 0.000000 0.000000  1
42.780823 10.386818 -84.445366 0.000000 0.000000  1
42.744987 10.386332 -84.443138 0.000000 0.000000  1
42.709148 10.385837 -84.440872 0.000000 0.000000  1
42.673317 10.385336 -84.438576 0.000000 0.000000  1
42.637482 10.384826 -84.436241 0.000000 0.000000  1
42.601658 10.384311 -84.433876 0.000000 0.000000  1
42.565830 10.383782 -84.431465 0.000000 0.000000  1
42.530003 10.383249 -84.429024 0.000000 0.000000  1
42.494179 10.382710 -84.426552 0.000000 0.000000  1
42.458355 10.382159 -84.424034 0.000000 0.000000  1
42.422535 10.381603 -84.421486 0.000000 0.000000  1
42.386723 10.381041 -84.418907 0.000000 0.000000  1
42.350906 10.380466 -84.416283 0.000000 0.000000  1
42.315090 10.379886 -84.413628 0.000000 0.000000  1
42.279278 10.379297 -84.410934 0.000000 0.000000  1
42.243465 10.378703 -84.408211 0.000000 0.000000  1
42.207661 10.378099 -84.405449 0.000000 0.000000  1
42.171860 10.377486 -84.402649 0.000000 0.000000  1
42.136055 10.376865 -84.399811 0.000000 0.000000  1
42.100254 10.376238 -84.396942 0.000000 0.000000  1
42.064453 10.375602 -84.394035 0.000000 0.000000  1
42.028656 10.374961 -84.391098 0.000000 0.000000  1
41.992863 10.374310 -84.388123 0.000000 0.000000  1
41.957069 10.373652 -84.385109 0.000000 0.000000  1
41.921284 10.372983 -84.382057 0.000000 0.000000  1
41.885498 10.372309 -84.378975 0.000000 0.000000  1
41.849712 10.371626 -84.375854 0.000000 0.000000  1
41.813931 10.370934 -84.372696 0.000000 0.000000  1
41.778149 10.370236 -84.369507 0.000000 0.000000  1
41.742371 10.369531 -84.366280 0.000000 0.000000  1
41.706600 10.368814 -84.363014 0.000000 0.000000  1
41.670830 10.368093 -84.359718 0.000000 0.000000  1
41.635059 10.367364 -84.356384 0.000000 0.000000  1
41.599293 10.366625 -84.353012 0.000000 0.000000  1
41.563526 10.365880 -84.349609 0.000000 0.000000  1
41.527763 10.365127 -84.346169 0.000000 0.000000  1
41.492004 10.364365 -84.342690 0.000000 0.000000  1
41.456253 10.363592 -84.339172 0.000000 0.000000  1
41.420502 10.362815 -84.335625 0.000000 0.000000  1
41.384750 10.362029 -84.332039 0.000000 0.000000  1
41.349003 10.361238 -84.328423 0.000000 0.000000  1
41.313255 10.360436 -84.324768 0.000000 0.000000  1
41.277512 10.359627 -84.321075 0.000000 0.000000  1
41.241779 10.358808 -84.317345 0.000000 0.000000  1
41.206043 10.357984 -84.313583 0.000000 0.000000  1
41.170307 10.357150 -84.309784 0.000000 0.000000  1
41.134579 10.356307 -84.305946 0.000000 0.000000  1
41.098850 10.355459 -84.302078 0.000000 0.000000  1
41.063126 10.354602 -84.298172 0.000000 0.000000  1
41.027409 10.353736 -84.294228 0.000000 0.000000  1
40.991692 10.352864 -84.290253 0.000000 0.000000  1
40.955975 10.351983 -84.286240 0.000000 0.000000  1
40.920261 10.351093 -84.282188 0.000000 0.000000  1
40.884552 10.350194 -84.278099 0.000000 0.000000  1
40.848846 10.349290 -84.273979 0.000000 0.000000  1
40.813145 10.348379 -84.269829 0.000000 0.000000  1
40.777451 10.347456 -84.265633 0.000000 0.000000  1
40.741756 10.346528 -84.261406 0.000000 0.000000  1
40.706062 10.345591 -84.257141 0.000000 0.000000  1
40.670372 10.344644 -84.252838 0.000000 0.000000  1
40.634686 10.343692 -84.248505 0.000000 0.000000  1
40.599003 10.342731 -84.244133 0.000000 0.000000  1
40.563332 10.341763 -84.239731 0.000000 0.000000  1
40.527657 10.340784 -84.235283 0.000000 0.000000  1
40.491982 10.339799 -84.230804 0.000000 0.000000  1
40.456314 10.338808 -84.226295 0.000000 0.000000  1
40.420647 10.337805 -84.221741 0.000000 0.000000  1
40.384991 10.336795 -84.217155 0.000000 0.000000  1
40.349335 10.335781 -84.212540 0.000000 0.000000  1
40.313679 10.334753 -84.207878 0.000000 0.000000  1
40.278027 10.333720 -84.203186 0.000000 0.000000  0
41.804062 9.530154 -80.759941 0.000000 0.000000  1
41.805756 9.546545 -80.826630 0.000000 0.000000  1
41.807446 9.562890 -80.893257 0.000000 0.000000  1
41.809143 9.579186 -80.959824 0.000000 0.000000  1
41.810841 9.595437 -81.026329 0.000000 0.000000  1
41.812542 9.611647 -81.092789 0.000000 0.000000  1
41.814247 9.627808 -81.159187 0.000000 0.000000  1
41.815948 9.643928 -81.225533 0.000000 0.000000  1
41.817657 9.659998 -81.291817 0.000000 0.000000  1
41.819366 9.676023 -81.358040 0.000000 0.000000  1
41.821083 9.692003 -81.424210 0.000000 0.000000  1
41.822792 9.707940 -81.490326 0.000000 0.000000  1
41.824512 9.723833 -81.556389 0.000000 0.000000  1
41.826229 9.739677 -81.622391 0.000000 0.000000  1
41.827950 9.755480 -81.688339 0.000000 0.000000  1
41.829674 9.771236 -81.754234 0.000000 0.000000  1
41.831402 9.786944 -81.820061 0.000000 0.000000  1
41.833130 9.802610 -81.885841 0.000000 0.000000  1
41.834862 9.818233 -81.951569 0.000000 0.000000  1
41.836594 9.833808 -82.017235 0.000000 0.000000  1
41.838329 9.849341 -82.082855 0.000000 0.000000  1
41.840065 9.864825 -82.148407 0.000000 0.000000  1
41.841805 9.880268 -82.213913 0.000000 0.000000  1
41.843552 9.895665 -82.279358 0.000000 0.000000  1
41.845295 9.911020 -82.344757 0.000000 0.000000  1
41.847042 9.926327 -82.410095 0.000000 0.000000  1
41.848793 9.941590 -82.475380 0.000000 0.000000  1
41.850544 9.956809 -82.540611 0.000000 0.000000  1
41.852295 9.971981 -82.605782 0.000000 0.000000  1
